date,water_temp,atm_pressure,wind_speed,wind_direction
2016-01-01 00:00:00,14.84,1023.9,2.81,132.0
2016-01-01 01:00:00,14.84,1022.9,4.92,151.0
2016-01-01 02:00:00,14.7,1022.2,4.68,143.0
2016-01-01 03:00:00,14.63,1021.3,5.15,140.0
2016-01-01 04:00:00,14.7,1020.2,5.39,129.0
2016-01-01 05:00:00,14.7,1018.8,7.5,143.0
2016-01-01 06:00:00,14.7,1017.8,8.43,157.0
2016-01-01 07:00:00,14.7,1017.2,7.96,157.0
2016-01-01 08:00:00,14.7,1016.1,8.43,163.0
2016-01-01 09:00:00,14.7,1015.6,9.37,163.0
2016-01-01 10:00:00,14.77,1015.1,8.67,174.0
2016-01-01 11:00:00,14.7,1014.1,11.01,174.0
2016-01-01 12:00:00,14.63,1012.8,9.37,165.0
2016-01-01 13:00:00,14.63,1010.8,8.43,143.0
2016-01-01 14:00:00,14.63,1009.3,11.01,165.0
2016-01-01 15:00:00,14.7,1008.8,11.25,163.0
2016-01-01 16:00:00,14.7,1009.9,7.96,168.0
2016-01-01 17:00:00,14.7,1009.7,8.2,165.0
2016-01-01 18:00:00,14.7,1008.6,7.73,146.0
2016-01-01 19:00:00,14.7,1009.0,8.43,182.0
2016-01-01 20:00:00,14.7,1011.0,4.92,281.0
2016-01-01 21:00:00,14.7,1012.2,1.87,295.0
2016-01-01 22:00:00,14.63,1012.7,3.98,284.0
2016-01-01 23:00:00,14.63,1013.3,4.68,278.0
2016-01-02 00:00:00,14.63,1013.9,7.96,270.0
2016-01-02 01:00:00,14.63,1013.7,7.73,281.0
2016-01-02 02:00:00,14.63,1014.4,6.79,275.0
2016-01-02 03:00:00,14.63,1014.8,8.67,275.0
2016-01-02 04:00:00,14.63,1014.8,10.54,278.0
2016-01-02 05:00:00,14.63,1014.9,11.01,281.0
2016-01-02 06:00:00,14.7,1015.4,9.37,261.0
2016-01-02 07:00:00,14.63,1016.5,9.6,286.0
2016-01-02 08:00:00,14.63,1017.0,10.31,289.0
2016-01-02 09:00:00,14.63,1017.8,11.48,261.0
2016-01-02 10:00:00,14.63,1019.0,10.31,281.0
2016-01-02 11:00:00,14.63,1019.4,10.31,267.0
2016-01-02 12:00:00,14.63,1019.4,10.07,275.0
2016-01-02 13:00:00,14.7,1019.5,10.07,272.0
2016-01-02 14:00:00,14.63,1019.8,10.07,270.0
2016-01-02 15:00:00,14.57,1020.3,8.43,289.0
2016-01-02 16:00:00,14.57,1020.8,8.43,275.0
